Paper_ID,DOI,Journal,Year,Polymer_type,Polymer_MW_kDa,Solvent_system,Solvent_ratio,Fiber_diameter_nm_std,Solvent_density_gmL,c_star_wt_pct,Polymer_conc_wt,intrinsic_viscosity_dLg,c_over_cstar,Solvent_ST_mNm,Solvent_BP_C,Air_pressure_bar_std,Feed_rate_mLh_std,Working_distance_cm,log_diameter
Parize2016,10.1007/s10853-016-9778-x,J_Mater_Sci,2016,PLA,200,dimethyl_carbonate,NR,325.0,1.069,0.23167218552041917,12.0,4.03783342804286,51.79732721493381,28.5,90.0,4.1369,3.0,10.0,5.783825182329737
Parize2016,10.1007/s10853-016-9778-x,J_Mater_Sci,2016,PLA,200,dimethyl_carbonate,NR,174.0,1.069,0.23167218552041917,10.0,4.03783342804286,43.16443934577817,28.5,90.0,2.7579,1.2,10.0,5.159055299214529
Parize2016,10.1007/s10853-016-9778-x,J_Mater_Sci,2016,PLA,200,dimethyl_carbonate,NR,216.0,1.069,0.23167218552041917,10.0,4.03783342804286,43.16443934577817,28.5,90.0,5.5158,1.2,10.0,5.375278407684165
Parize2016,10.1007/s10853-016-9778-x,J_Mater_Sci,2016,PLA,200,dimethyl_carbonate,NR,198.0,1.069,0.23167218552041917,10.0,4.03783342804286,43.16443934577817,28.5,90.0,2.7579,3.0,10.0,5.288267030694535
Parize2016,10.1007/s10853-016-9778-x,J_Mater_Sci,2016,PLA,200,dimethyl_carbonate,NR,193.0,1.069,0.23167218552041917,10.0,4.03783342804286,43.16443934577817,28.5,90.0,5.5158,3.0,10.0,5.262690188904886
Parize2016,10.1007/s10853-016-9778-x,J_Mater_Sci,2016,PLA,200,dimethyl_carbonate,NR,220.0,1.069,0.23167218552041917,10.0,4.03783342804286,43.16443934577817,28.5,90.0,4.1369,2.1,10.0,5.393627546352362
Parize2016,10.1007/s10853-016-9778-x,J_Mater_Sci,2016,PLA,200,dimethyl_carbonate,NR,216.0,1.069,0.23167218552041917,10.0,4.03783342804286,43.16443934577817,28.5,90.0,4.1369,2.1,10.0,5.375278407684165
Parize2016,10.1007/s10853-016-9778-x,J_Mater_Sci,2016,PLA,200,dimethyl_carbonate,NR,136.0,1.069,0.23167218552041917,8.0,4.03783342804286,34.531551476622537,28.5,90.0,4.1369,3.0,10.0,4.912654885736052
Parize2016,10.1007/s10853-016-9778-x,J_Mater_Sci,2016,PLA,200,dimethyl_carbonate,NR,273.0,1.069,0.23167218552041917,12.0,4.03783342804286,51.79732721493381,28.5,90.0,5.5158,2.1,10.0,5.60947179518496
Parize2016,10.1007/s10853-016-9778-x,J_Mater_Sci,2016,PLA,200,dimethyl_carbonate,NR,179.0,1.069,0.23167218552041917,8.0,4.03783342804286,34.531551476622537,28.5,90.0,4.1369,1.2,10.0,5.187385805840755
